                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4784,                 1.9031,                 1.8019,                0.58116,                0.52392,                0.55996,                0.23861,                 1.8961,                 1.8024,                  2.335,               0.067478,             0.00079759,             0.00079759
                      2,                 1.4883,                  1.808,                  1.817,                0.57734,                0.57508,                0.57518,                0.24823,                 1.8965,                 1.7026,                 2.2542,               0.034903,              0.0015556,              0.0015556
                      3,                  1.467,                 1.7528,                 1.7975,                 0.6466,                0.63293,                 0.6571,                0.29789,                 1.8272,                 1.5656,                  2.177,              0.0022879,              0.0022738,              0.0022738
                      4,                 1.4201,                 1.6537,                 1.7572,                0.66291,                0.64071,                0.68375,                0.30672,                 1.8086,                 1.4723,                 2.1354,              0.0022142,              0.0022142,              0.0022142
                      5,                 1.3838,                 1.6016,                 1.7275,                0.67708,                0.65538,                 0.6786,                0.33983,                 1.6498,                 1.4528,                 2.0082,              0.0021544,              0.0021544,              0.0021544
                      6,                  1.351,                 1.5368,                  1.694,                0.69384,                0.68187,                0.70342,                0.33407,                 1.7136,                 1.3965,                 2.0384,              0.0020946,              0.0020946,              0.0020946
                      7,                 1.3315,                 1.5117,                 1.6766,                0.68368,                0.70202,                0.72752,                0.34691,                 1.7258,                 1.3183,                  2.037,              0.0020347,              0.0020347,              0.0020347
                      8,                  1.303,                 1.4659,                 1.6574,                0.73668,                 0.7119,                0.77685,                0.38689,                 1.6537,                 1.2759,                 1.9742,              0.0019749,              0.0019749,              0.0019749
                      9,                    1.3,                 1.4504,                  1.649,                0.72732,                0.72525,                0.76268,                0.39558,                 1.6126,                  1.236,                 1.9208,               0.001915,               0.001915,               0.001915
                     10,                 1.2876,                 1.4162,                 1.6419,                0.70071,                0.71098,                0.75533,                0.41976,                 1.5235,                 1.2499,                 1.8711,              0.0018552,              0.0018552,              0.0018552
                     11,                 1.2697,                 1.3845,                 1.6243,                0.71314,                 0.7386,                 0.7724,                0.39399,                 1.6248,                 1.2114,                 1.9205,              0.0017953,              0.0017953,              0.0017953
                     12,                 1.2617,                 1.3575,                 1.6096,                0.71624,                0.72157,                0.76584,                0.39791,                 1.6039,                 1.2046,                 1.9301,              0.0017355,              0.0017355,              0.0017355
                     13,                 1.2504,                 1.3455,                 1.6109,                0.73709,                0.70968,                0.75767,                0.39418,                 1.6404,                 1.2296,                 1.9475,              0.0016756,              0.0016756,              0.0016756
                     14,                 1.2322,                 1.3327,                 1.5942,                0.71305,                0.71969,                0.74089,                0.37623,                 1.6834,                 1.1907,                 1.9925,              0.0016158,              0.0016158,              0.0016158
                     15,                 1.2414,                 1.3118,                 1.5961,                0.69785,                0.75862,                 0.7814,                0.42031,                 1.5777,                 1.1344,                 1.9008,               0.001556,               0.001556,               0.001556
                     16,                 1.2253,                 1.2909,                 1.5796,                0.75161,                0.73711,                0.79098,                0.43288,                 1.5442,                 1.1099,                 1.8578,              0.0014961,              0.0014961,              0.0014961
                     17,                 1.2134,                 1.2853,                 1.5757,                0.74711,                0.74268,                0.79132,                0.43555,                 1.5369,                 1.0889,                 1.8523,              0.0014363,              0.0014363,              0.0014363
                     18,                 1.2035,                 1.2603,                 1.5652,                0.80043,                0.70938,                0.79284,                0.42024,                 1.6186,                 1.1294,                 1.9033,              0.0013764,              0.0013764,              0.0013764
                     19,                  1.197,                 1.2326,                  1.552,                0.74896,                0.74006,                0.78466,                0.42257,                 1.5885,                 1.1189,                 1.8786,              0.0013166,              0.0013166,              0.0013166
                     20,                  1.186,                 1.2388,                 1.5517,                0.73959,                0.74416,                0.80259,                0.43975,                 1.5348,                 1.0907,                 1.8216,              0.0012567,              0.0012567,              0.0012567
                     21,                 1.1889,                 1.2243,                 1.5483,                0.75444,                0.74416,                0.79021,                0.43954,                 1.5215,                 1.0816,                 1.8537,              0.0011969,              0.0011969,              0.0011969
                     22,                 1.1715,                 1.2099,                 1.5335,                0.78195,                0.71079,                0.78912,                0.44467,                 1.5368,                 1.0728,                 1.8552,               0.001137,               0.001137,               0.001137
                     23,                 1.1688,                 1.1922,                 1.5367,                0.77223,                 0.7618,                0.81966,                0.45872,                 1.4864,                 1.0463,                 1.7968,              0.0010772,              0.0010772,              0.0010772
                     24,                 1.1575,                 1.1747,                 1.5186,                0.75149,                0.77976,                0.83301,                0.47346,                 1.4859,                  1.002,                  1.795,              0.0010174,              0.0010174,              0.0010174
                     25,                 1.1488,                 1.1712,                 1.5223,                0.72944,                0.78309,                0.81183,                0.45174,                 1.5348,                 1.0542,                  1.833,             0.00095751,             0.00095751,             0.00095751
                     26,                 1.1316,                 1.1405,                 1.5071,                0.78867,                0.73192,                0.81134,                 0.4654,                 1.4834,                 1.0209,                 1.8173,             0.00089767,             0.00089767,             0.00089767
                     27,                 1.1359,                 1.1299,                 1.5083,                0.77654,                0.76152,                 0.8227,                 0.4593,                 1.4861,                 1.0289,                 1.8147,             0.00083782,             0.00083782,             0.00083782
                     28,                 1.1193,                 1.1076,                 1.4898,                0.75161,                0.78089,                0.81741,                0.46031,                 1.5139,                 1.0379,                 1.8344,             0.00077798,             0.00077798,             0.00077798
