                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4156,                  1.853,                 1.7524,                0.55956,                0.61756,                 0.6072,                0.27682,                 1.7607,                 1.6759,                 2.0678,               0.067083,             0.00040249,             0.00040249
                      2,                 1.4135,                  1.712,                 1.7561,                0.63985,                0.67388,                0.66116,                0.29122,                 1.8645,                 1.4984,                 2.1929,               0.034132,             0.00078502,             0.00078502
                      3,                    1.4,                 1.6679,                 1.7461,                0.66381,                 0.6129,                0.66529,                0.31024,                 1.8033,                 1.4701,                 2.1166,              0.0011615,              0.0011474,              0.0011474
                      4,                 1.3674,                 1.5896,                 1.7141,                0.66167,                0.66963,                0.70071,                0.32623,                 1.7361,                 1.4227,                    2.1,              0.0011174,              0.0011174,              0.0011174
                      5,                 1.3382,                 1.5299,                 1.6929,                0.69565,                 0.7119,                 0.7255,                0.37653,                 1.6398,                 1.3509,                 1.9725,              0.0010872,              0.0010872,              0.0010872
                      6,                 1.3144,                 1.4752,                 1.6744,                0.65257,                0.66232,                 0.6396,                0.30279,                 1.7695,                 1.4936,                 2.1156,               0.001057,               0.001057,               0.001057
                      7,                 1.2931,                 1.4422,                 1.6577,                0.70075,                0.73081,                0.76584,                0.36573,                 1.7159,                 1.2603,                 2.0135,              0.0010268,              0.0010268,              0.0010268
                      8,                 1.2686,                 1.3939,                 1.6329,                0.74066,                0.70857,                0.77354,                0.41583,                 1.5797,                 1.2101,                 1.9028,             0.00099658,             0.00099658,             0.00099658
                      9,                 1.2593,                 1.3853,                 1.6243,                0.75566,                 0.7297,                0.78372,                0.41973,                 1.5697,                 1.1376,                 1.9021,             0.00096639,             0.00096639,             0.00096639
                     10,                 1.2444,                 1.3448,                 1.6131,                0.69942,                0.70634,                0.74078,                0.39789,                 1.5571,                 1.2468,                 1.8937,             0.00093619,             0.00093619,             0.00093619
                     11,                 1.2275,                 1.3264,                 1.5921,                0.73963,                0.70968,                0.75895,                0.39593,                  1.576,                 1.1978,                 1.9032,             0.00090599,             0.00090599,             0.00090599
                     12,                 1.2182,                  1.302,                 1.5874,                0.74284,                 0.7583,                0.80737,                0.44111,                 1.5324,                 1.1076,                  1.849,             0.00087579,             0.00087579,             0.00087579
                     13,                 1.2058,                 1.2803,                 1.5759,                0.77881,                0.72747,                0.80224,                0.44947,                  1.519,                 1.0663,                 1.8486,             0.00084559,             0.00084559,             0.00084559
                     14,                 1.1818,                 1.2586,                 1.5607,                0.78363,                0.73723,                 0.7995,                0.44047,                   1.53,                  1.079,                 1.8449,             0.00081539,             0.00081539,             0.00081539
                     15,                 1.1903,                 1.2336,                 1.5613,                0.76407,                0.75306,                0.80124,                0.41475,                 1.6708,                  1.083,                 1.9971,             0.00078519,             0.00078519,             0.00078519
                     16,                 1.1805,                 1.2197,                  1.549,                0.76952,                0.75973,                0.80533,                0.43785,                 1.5271,                 1.0493,                 1.8639,               0.000755,               0.000755,               0.000755
                     17,                 1.1703,                 1.2104,                 1.5487,                0.73577,                0.78309,                0.81616,                0.47401,                 1.4511,                 1.0109,                  1.776,              0.0007248,              0.0007248,              0.0007248
                     18,                 1.1465,                 1.1826,                  1.524,                0.79355,                0.77388,                  0.829,                0.46892,                 1.5188,                0.98227,                 1.8098,              0.0006946,              0.0006946,              0.0006946
                     19,                 1.1473,                  1.159,                 1.5179,                0.73782,                0.76752,                0.81458,                0.46426,                 1.4896,                 1.0295,                 1.8031,              0.0006644,              0.0006644,              0.0006644
                     20,                 1.1369,                 1.1577,                 1.5188,                0.77106,                0.79423,                0.82809,                0.47623,                 1.4796,                0.99126,                 1.8007,              0.0006342,              0.0006342,              0.0006342
                     21,                 1.1353,                 1.1455,                 1.5136,                0.75749,                0.77133,                0.81529,                0.46726,                  1.438,                 1.0262,                 1.7611,               0.000604,               0.000604,               0.000604
                     22,                 1.1212,                 1.1236,                  1.498,                0.79971,                0.76837,                0.83418,                0.47433,                 1.4828,                 0.9809,                  1.799,              0.0005738,              0.0005738,              0.0005738
                     23,                 1.1157,                 1.1121,                 1.4967,                0.78105,                0.75751,                0.82144,                0.47138,                 1.4684,                0.98983,                  1.791,             0.00054361,             0.00054361,             0.00054361
                     24,                 1.1023,                 1.0937,                 1.4813,                 0.7736,                0.76641,                0.83412,                0.48348,                 1.4584,                0.97736,                 1.7819,             0.00051341,             0.00051341,             0.00051341
