                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4325,                 1.8808,                 1.7721,                  0.567,                0.55506,                0.57444,                0.23449,                 1.8301,                 1.7544,                 2.1903,               0.067163,             0.00048185,             0.00048185
                      2,                 1.4331,                 1.7415,                 1.7758,                0.64278,                 0.6218,                0.64012,                0.27985,                 1.9157,                 1.6157,                 2.2561,               0.034309,             0.00096197,             0.00096197
                      3,                 1.4293,                 1.7007,                 1.7699,                0.66893,                0.63737,                0.67635,                0.32105,                 1.7832,                 1.4988,                 2.0965,              0.0014543,              0.0014402,              0.0014402
                      4,                 1.3912,                 1.6249,                 1.7357,                0.66445,                0.66518,                0.70482,                0.34185,                 1.7091,                 1.4001,                 2.0576,              0.0014375,              0.0014375,              0.0014375
                      5,                  1.356,                 1.5728,                 1.7063,                0.68074,                0.67359,                0.71636,                0.37776,                 1.5729,                  1.426,                 1.9288,              0.0014346,              0.0014346,              0.0014346
                      6,                 1.3303,                 1.5122,                  1.687,                0.67885,                0.71079,                0.70748,                0.36061,                 1.6551,                 1.3518,                 1.9849,              0.0014317,              0.0014317,              0.0014317
                      7,                 1.3146,                  1.477,                 1.6664,                0.72938,                 0.7297,                0.77256,                0.38912,                 1.6674,                 1.2154,                 1.9469,              0.0014288,              0.0014288,              0.0014288
                      8,                 1.2968,                 1.4369,                  1.655,                0.72717,                0.69077,                0.75961,                0.38959,                 1.6373,                 1.2456,                  1.971,              0.0014259,              0.0014259,              0.0014259
                      9,                   1.29,                 1.4341,                 1.6501,                0.70412,                0.72747,                0.74841,                0.39793,                 1.5749,                 1.2095,                 1.8995,               0.001423,               0.001423,               0.001423
                     10,                  1.276,                  1.394,                 1.6374,                0.70319,                0.66147,                0.70107,                   0.38,                 1.5912,                 1.3718,                 1.9457,              0.0014201,              0.0014201,              0.0014201
                     11,                 1.2591,                 1.3669,                 1.6175,                0.76576,                0.71524,                 0.7755,                0.41529,                 1.5705,                 1.1959,                 1.8984,              0.0014172,              0.0014172,              0.0014172
                     12,                 1.2555,                 1.3424,                 1.6105,                0.69453,                0.74356,                0.74785,                0.38709,                 1.5938,                 1.2116,                 1.9272,              0.0014143,              0.0014143,              0.0014143
                     13,                 1.2419,                  1.333,                 1.6054,                0.67306,                0.70523,                0.72869,                0.37911,                 1.6383,                 1.2649,                 1.9753,              0.0014114,              0.0014114,              0.0014114
                     14,                 1.2256,                 1.3116,                  1.592,                0.73003,                0.73091,                0.77365,                 0.4073,                 1.6213,                 1.1345,                 1.9653,              0.0014086,              0.0014086,              0.0014086
                     15,                 1.2335,                 1.2945,                 1.5923,                0.74317,                0.70968,                0.76298,                0.38824,                  1.699,                 1.1844,                 2.0237,              0.0014057,              0.0014057,              0.0014057
                     16,                 1.2313,                 1.2816,                 1.5826,                0.76689,                0.71746,                  0.785,                0.42189,                 1.5602,                 1.1181,                  1.911,              0.0014028,              0.0014028,              0.0014028
                     17,                 1.2167,                  1.277,                 1.5781,                0.75772,                0.74448,                0.78732,                 0.4403,                 1.5294,                 1.0966,                 1.8496,              0.0013999,              0.0013999,              0.0013999
                     18,                  1.203,                 1.2607,                 1.5688,                 0.7551,                0.74305,                0.79876,                0.42669,                 1.5972,                 1.1091,                 1.8956,               0.001397,               0.001397,               0.001397
                     19,                 1.2022,                  1.238,                  1.562,                0.77547,                0.73526,                0.80076,                0.44247,                 1.4934,                 1.0633,                 1.8104,              0.0013941,              0.0013941,              0.0013941
                     20,                 1.1995,                 1.2493,                 1.5677,                0.77813,                0.72303,                0.80141,                 0.4308,                 1.5701,                 1.1151,                 1.8995,              0.0013912,              0.0013912,              0.0013912
                     21,                  1.197,                 1.2372,                 1.5611,                0.73541,                0.76641,                0.79577,                0.44572,                 1.4832,                 1.0858,                 1.8201,              0.0013883,              0.0013883,              0.0013883
                     22,                 1.1852,                 1.2187,                 1.5499,                0.75657,                0.73636,                 0.7929,                0.43712,                 1.5729,                 1.0895,                 1.9026,              0.0013854,              0.0013854,              0.0013854
                     23,                 1.1861,                 1.2082,                 1.5508,                 0.7441,                0.75862,                0.79715,                0.43392,                 1.5351,                 1.0849,                 1.8644,              0.0013825,              0.0013825,              0.0013825
                     24,                 1.1794,                 1.2019,                 1.5389,                0.77292,                0.72636,                0.80342,                0.45463,                 1.5082,                 1.0749,                 1.8351,              0.0013796,              0.0013796,              0.0013796
                     25,                 1.1744,                 1.1958,                 1.5476,                 0.7786,                 0.7475,                0.81827,                0.44039,                 1.5787,                 1.0485,                 1.8793,              0.0013767,              0.0013767,              0.0013767
                     26,                 1.1549,                 1.1663,                 1.5291,                0.77947,                0.74306,                0.80095,                0.45145,                 1.5172,                 1.0272,                 1.8391,              0.0013738,              0.0013738,              0.0013738
                     27,                 1.1726,                 1.1663,                 1.5411,                0.77359,                0.74111,                0.81318,                0.46436,                 1.4833,                0.99728,                 1.8079,               0.001371,               0.001371,               0.001371
                     28,                 1.1548,                 1.1536,                 1.5185,                0.75044,                0.76931,                0.80292,                0.45153,                 1.5194,                 1.0331,                 1.8561,              0.0013681,              0.0013681,              0.0013681
                     29,                 1.1575,                 1.1523,                 1.5197,                0.76852,                0.75973,                0.81421,                0.44519,                 1.5731,                  1.034,                 1.8769,              0.0013652,              0.0013652,              0.0013652
                     30,                 1.1544,                 1.1482,                 1.5161,                0.74375,                0.75528,                0.79121,                0.45143,                 1.5068,                 1.0495,                 1.8349,              0.0013623,              0.0013623,              0.0013623
                     31,                 1.1445,                 1.1382,                 1.5095,                0.78988,                0.75687,                 0.8304,                0.47729,                 1.4721,                0.97562,                 1.7955,              0.0013594,              0.0013594,              0.0013594
                     32,                 1.1419,                 1.1305,                 1.5094,                0.79053,                0.75528,                0.83176,                0.46387,                 1.5068,                0.99767,                 1.8172,              0.0013565,              0.0013565,              0.0013565
                     33,                 1.1315,                  1.122,                 1.4998,                0.78648,                0.75195,                 0.8181,                0.46019,                 1.5229,                0.99006,                 1.8454,              0.0013536,              0.0013536,              0.0013536
                     34,                 1.1356,                 1.1228,                 1.4986,                0.79717,                0.76085,                0.82353,                0.47135,                 1.4769,                0.99083,                 1.8046,              0.0013507,              0.0013507,              0.0013507
                     35,                 1.1286,                 1.1249,                 1.4979,                 0.7863,                0.77976,                0.82749,                0.46788,                 1.5088,                0.97926,                 1.8285,              0.0013478,              0.0013478,              0.0013478
                     36,                 1.1303,                 1.1131,                 1.4951,                0.76721,                0.76974,                0.82413,                0.47386,                 1.4554,                0.98489,                 1.7913,              0.0013449,              0.0013449,              0.0013449
                     37,                 1.1309,                 1.1107,                 1.4966,                0.78252,                0.75973,                0.82981,                0.47425,                 1.4842,                0.99193,                  1.807,               0.001342,               0.001342,               0.001342
                     38,                 1.1306,                 1.0906,                 1.4961,                0.81001,                0.77301,                0.84272,                0.48941,                 1.4569,                0.94085,                 1.7666,              0.0013391,              0.0013391,              0.0013391
                     39,                 1.1071,                 1.0912,                 1.4841,                0.76978,                0.78107,                0.82339,                 0.4724,                 1.4826,                0.96921,                 1.8006,              0.0013362,              0.0013362,              0.0013362
                     40,                 1.1109,                 1.0815,                  1.483,                0.76744,                0.78309,                0.82756,                0.47638,                 1.4923,                0.97412,                 1.7971,              0.0013334,              0.0013334,              0.0013334
                     41,                 1.1153,                 1.0788,                 1.4795,                0.74063,                0.78865,                0.82109,                 0.4713,                 1.5006,                0.98992,                   1.81,              0.0013305,              0.0013305,              0.0013305
                     42,                 1.0948,                 1.0701,                  1.471,                0.79457,                0.77874,                0.83573,                0.47843,                 1.4676,                0.96981,                 1.8053,              0.0013276,              0.0013276,              0.0013276
                     43,                  1.113,                 1.0904,                 1.4807,                0.76959,                0.81646,                0.84722,                0.49482,                 1.4559,                0.93578,                 1.7728,              0.0013247,              0.0013247,              0.0013247
                     44,                 1.0998,                 1.0583,                 1.4705,                0.79918,                0.79088,                0.85252,                0.50258,                 1.4273,                0.91591,                 1.7537,              0.0013218,              0.0013218,              0.0013218
