                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3521,                 30.038,                 1.9912,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002991,             2.7357e-05,             2.7357e-05
                      2,                 3.2114,                 28.041,                 1.8992,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.6974e-05,             2.6974e-05,             2.6974e-05
                      3,                 3.1874,                 26.726,                 1.8752,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.6517e-05,             2.6517e-05,             2.6517e-05
                      4,                 3.0493,                 25.878,                 1.8328,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              2.606e-05,              2.606e-05,              2.606e-05
                      5,                 2.9719,                 25.477,                 1.8144,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.5603e-05,             2.5603e-05,             2.5603e-05
                      6,                 3.0215,                 25.103,                 1.8038,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.5146e-05,             2.5146e-05,             2.5146e-05
                      7,                 2.9335,                 24.857,                  1.785,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.4689e-05,             2.4689e-05,             2.4689e-05
                      8,                 2.8815,                 24.426,                 1.7643,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.4231e-05,             2.4231e-05,             2.4231e-05
                      9,                 2.8825,                 24.133,                 1.7541,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.3774e-05,             2.3774e-05,             2.3774e-05
                     10,                 2.9059,                 23.397,                 1.7527,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.3317e-05,             2.3317e-05,             2.3317e-05
                     11,                 2.9054,                 23.201,                 1.7589,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              2.286e-05,              2.286e-05,              2.286e-05
                     12,                 2.9274,                 23.899,                  1.765,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.2403e-05,             2.2403e-05,             2.2403e-05
                     13,                 2.8301,                  22.73,                 1.6981,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.1945e-05,             2.1945e-05,             2.1945e-05
                     14,                  2.887,                 23.169,                 1.7685,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.1488e-05,             2.1488e-05,             2.1488e-05
                     15,                 2.8047,                 22.613,                   1.72,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.1031e-05,             2.1031e-05,             2.1031e-05
                     16,                  2.827,                 22.569,                 1.7239,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.0574e-05,             2.0574e-05,             2.0574e-05
                     17,                  2.846,                 22.903,                 1.7393,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.0117e-05,             2.0117e-05,             2.0117e-05
                     18,                 2.7568,                  22.35,                  1.695,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.9659e-05,             1.9659e-05,             1.9659e-05
                     19,                 2.7679,                 22.053,                 1.7121,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.9202e-05,             1.9202e-05,             1.9202e-05
                     20,                 2.8073,                 21.834,                 1.7067,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.8745e-05,             1.8745e-05,             1.8745e-05
                     21,                 2.7506,                 22.064,                 1.6897,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.8288e-05,             1.8288e-05,             1.8288e-05
                     22,                 2.7666,                 21.724,                 1.6923,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.7831e-05,             1.7831e-05,             1.7831e-05
                     23,                 2.7813,                 21.757,                 1.6791,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.7373e-05,             1.7373e-05,             1.7373e-05
                     24,                  2.775,                 21.366,                 1.6893,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.6916e-05,             1.6916e-05,             1.6916e-05
